#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B80EE1
#Date Time: 2025-11-12 12:40:23.317
#Sample rate: 37147.1Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1.16 kHz
#Period: 862.0689655 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.036584431645085735,0.08846073672098767,-0.053463150369394516
-0.036557511645085736,0.08946231972594541,-0.05715697897204884
-0.036530591645085736,0.08679143171272477,-0.05715697897204884
-0.036503671645085736,0.08078193368297831,-0.05715697897204884
-0.03647675164508574,0.07176768663835864,-0.053463150369394516
-0.03644983164508574,0.06075027358382349,-0.053463150369394516
-0.03642291164508574,0.04672811151441511,-0.05715697897204884
-0.03639599164508574,0.03137050543839641,-0.053463150369394516
-0.03636907164508574,0.015011316357419969,-0.05715697897204884
-0.03634215164508574,-0.0016817337252090522,-0.05715697897204884
-0.03631523164508574,-0.018374783807838073,-0.05715697897204884
-0.03628831164508574,-0.03406625088550935,0.17555422299517337
-0.03626139164508574,-0.055433354991274504,3.248819620403568
-0.03623447164508574,-0.08047293011521804,3.259901106211531
-0.03620755164508574,-0.10217389522263576,3.2562072776088766
-0.03618063164508574,-0.11986852831022253,3.2525134490062224
-0.03615371164508574,-0.13288910737467316,3.2562072776088766
-0.03612679164508574,-0.14056791041268252,3.2562072776088766
-0.03609987164508574,-0.13689543939450413,0.009331935875728933
-0.03607295164508574,-0.12120397231683284,-0.05715697897204884
-0.03604603164508574,-0.10083845121602544,-0.05715697897204884
-0.03601911164508574,-0.08247609612513351,3.049352875860235
-0.03599219164508574,-0.06711849004911481,1.8821030374214696
-0.03596527164508574,-0.0400757489152558,-0.053463150369394516
-0.03593835164508574,-0.008692814759913242,-0.05715697897204884
-0.03591143164508574,0.02235625839377674,-0.05715697897204884
-0.03588451164508574,0.05273760954416156,-0.05715697897204884
-0.03585759164508574,0.07577401865818961,2.7612342448531977
-0.03583067164508574,0.08812687571933508,3.2562072776088766
-0.035803751645085743,0.0964734007606496,3.2562072776088766
-0.035776831645085744,0.1014813157854383,3.2562072776088766
-0.035749911645085744,0.10248289879039604,3.2525134490062224
-0.035722991645085744,0.09947814977552281,3.2562072776088766
-0.035696071645085745,0.09313479074412379,3.2562072776088766
-0.03566915164508574,0.08345282169619896,2.443564985024926
-0.03564223164508574,0.079446489676368,-0.0497693217667402
-0.03561531164508574,0.07644174066149477,-0.05715697897204884
-0.03558839164508574,0.0707661036334009,-0.053463150369394516
-0.03556147164508574,0.06241957859208639,-0.053463150369394516
-0.03553455164508574,0.048731277524330596,2.1960784686470864
-0.03550763164508574,0.023691702400387062,2.727989787429309
-0.03548071164508574,0.005663208311147717,-0.0497693217667402
-0.03545379164508574,-0.0076912317549555,-0.05715697897204884
-0.03542687164508574,-0.020377949817753555,0.3306950243066548
-0.03539995164508574,-0.04074347091856096,3.248819620403568
-0.03537303164508574,-0.06177671402267353,1.2947842895994326
-0.03534611164508574,-0.0707909610672932,-0.05715697897204884
-0.035319191645085735,-0.07579887609208191,-0.05715697897204884
-0.035292271645085735,-0.08013906911356546,1.7639005221365314
-0.035265351645085735,-0.09082262116644803,3.2562072776088766
-0.035238431645085735,-0.09950300720941511,3.2562072776088766
-0.035211511645085736,-0.10451092223420383,3.2562072776088766
